external/curl/sigpipe.h	54	sa_handler = SIG_IGN;
external/curl/sigpipe.h	55	sigaction(SIGPIPE, &action, NULL);
external/curl/sigpipe.h	68	sigaction(SIGPIPE, &ig->old_pipe_act, NULL);
external/curl/transfer.c	1360	signal(SIGPIPE, SIG_IGN);
external/curl/transfer.c	1400	signal(SIGPIPE, data->state.prev_signal);
external/gmock/fused-src/gmock-gtest-all.cc	7539	sa_handler = SIG_IGN;
external/gmock/fused-src/gmock-gtest-all.cc	7540	sigaction( SIGPROF, &ignore_sigprof_action, &saved_sigprof_action));
external/gmock/fused-src/gmock-gtest-all.cc	7583	sigaction(SIGPROF, &saved_sigprof_action, NULL));
external/gmock/gtest/fused-src/gtest/gtest-all.cc	7539	sa_handler = SIG_IGN;
external/gmock/gtest/fused-src/gtest/gtest-all.cc	7540	sigaction( SIGPROF, &ignore_sigprof_action, &saved_sigprof_action));
external/gmock/gtest/fused-src/gtest/gtest-all.cc	7583	sigaction(SIGPROF, &saved_sigprof_action, NULL));
external/gmock/gtest/src/gtest-death-test.cc	1045	sa_handler = SIG_IGN;
external/gmock/gtest/src/gtest-death-test.cc	1046	sigaction( SIGPROF, &ignore_sigprof_action, &saved_sigprof_action));
external/gmock/gtest/src/gtest-death-test.cc	1089	sigaction(SIGPROF, &saved_sigprof_action, NULL));
external/gmock/gtest/test/gtest-death-test_test.cc	391	sa_sigaction = SigprofAction;
external/gmock/gtest/test/gtest-death-test_test.cc	393	sigaction(SIGPROF, &signal_action, NULL));
external/gmock/gtest/test/gtest-death-test_test.cc	406	sa_handler = SIG_IGN;
external/gmock/gtest/test/gtest-death-test_test.cc	407	sigaction(SIGPROF, &signal_action, old_signal_action));
external/gmock/gtest/test/gtest-death-test_test.cc	417	sa_sigaction == SigprofAction);
external/gmock/gtest/test/gtest-death-test_test.cc	426	sa_sigaction == SigprofAction);
external/grpc/src/core/lib/iomgr/ev_epollsig_linux.cc	960	signal(grpc_wakeup_signal, sig_handler);
external/iotivity/iotivity_1.2-rel/extlibs/gtest/gtest-1.7.0/fused-src/gtest/gtest-all.cc	7539	sa_handler = SIG_IGN;
external/iotivity/iotivity_1.2-rel/extlibs/gtest/gtest-1.7.0/fused-src/gtest/gtest-all.cc	7540	sigaction( SIGPROF, &ignore_sigprof_action, &saved_sigprof_action));
external/iotivity/iotivity_1.2-rel/extlibs/gtest/gtest-1.7.0/fused-src/gtest/gtest-all.cc	7583	sigaction(SIGPROF, &saved_sigprof_action, NULL));
external/iotivity/iotivity_1.2-rel/extlibs/gtest/gtest-1.7.0/src/gtest-death-test.cc	1045	sa_handler = SIG_IGN;
external/iotivity/iotivity_1.2-rel/extlibs/gtest/gtest-1.7.0/src/gtest-death-test.cc	1046	sigaction( SIGPROF, &ignore_sigprof_action, &saved_sigprof_action));
external/iotivity/iotivity_1.2-rel/extlibs/gtest/gtest-1.7.0/src/gtest-death-test.cc	1089	sigaction(SIGPROF, &saved_sigprof_action, NULL));
external/iotivity/iotivity_1.2-rel/extlibs/gtest/gtest-1.7.0/test/gtest-death-test_test.cc	391	sa_sigaction = SigprofAction;
external/iotivity/iotivity_1.2-rel/extlibs/gtest/gtest-1.7.0/test/gtest-death-test_test.cc	393	sigaction(SIGPROF, &signal_action, NULL));
external/iotivity/iotivity_1.2-rel/extlibs/gtest/gtest-1.7.0/test/gtest-death-test_test.cc	406	sa_handler = SIG_IGN;
external/iotivity/iotivity_1.2-rel/extlibs/gtest/gtest-1.7.0/test/gtest-death-test_test.cc	407	sigaction(SIGPROF, &signal_action, old_signal_action));
external/iotivity/iotivity_1.2-rel/extlibs/gtest/gtest-1.7.0/test/gtest-death-test_test.cc	417	sa_sigaction == SigprofAction);
external/iotivity/iotivity_1.2-rel/extlibs/gtest/gtest-1.7.0/test/gtest-death-test_test.cc	426	sa_sigaction == SigprofAction);
external/iotivity/iotivity_1.2-rel/plugins/samples/linux/IotivityandZigbeeClient.c	494	signal(SIGINT, processCancel) == SIG_ERR) { OIC_LOG(ERROR, TAG, );
external/iotivity/iotivity_1.2-rel/plugins/samples/linux/IotivityandZigbeeServer.c	71	signal(SIGINT, processCancel) == SIG_ERR) { OIC_LOG(ERROR, TAG, );
external/iotivity/iotivity_1.2-rel/plugins/zigbee_wrapper/telegesis_wrapper/src/telegesis_socket.c	596	sa_handler = 0 };
external/iotivity/iotivity_1.2-rel/plugins/zigbee_wrapper/telegesis_wrapper/src/telegesis_socket.c	600	sa_handler = sigHandler;
external/iotivity/iotivity_1.2-rel/plugins/zigbee_wrapper/telegesis_wrapper/src/telegesis_socket.c	603	sigaction(EINTR, &action, NULL);
external/iotivity/iotivity_1.2-rel/resource/csdk/connectivity/lib/libcoap-4.1.1/examples/etsi_iot_01.c	739	signal(SIGINT, handle_sigint);
external/iotivity/iotivity_1.2-rel/resource/csdk/connectivity/lib/libcoap-4.1.1/examples/rd.c	696	signal(SIGINT, handle_sigint);
external/iotivity/iotivity_1.2-rel/resource/csdk/connectivity/lib/libcoap-4.1.1/examples/server.c	390	signal(SIGINT, handle_sigint);
external/iotivity/iotivity_1.2-rel/resource/csdk/resource-directory/samples/rd_main.c	53	signal(SIGINT, handleSigInt);
external/iotivity/iotivity_1.2-rel/resource/csdk/security/provisioning/sample/sampleserver_justworks.cpp	441	signal(SIGINT, handleSigInt);
external/iotivity/iotivity_1.2-rel/resource/csdk/security/provisioning/sample/sampleserver_mfg.cpp	493	signal(SIGINT, handleSigInt);
external/iotivity/iotivity_1.2-rel/resource/csdk/security/provisioning/sample/sampleserver_mvjustworks.cpp	488	signal(SIGINT, handleSigInt);
external/iotivity/iotivity_1.2-rel/resource/csdk/security/provisioning/sample/sampleserver_preconfpin.cpp	441	signal(SIGINT, handleSigInt);
external/iotivity/iotivity_1.2-rel/resource/csdk/security/provisioning/sample/sampleserver_randompin.cpp	515	signal(SIGINT, handleSigInt);
external/iotivity/iotivity_1.2-rel/resource/csdk/security/provisioning/unittest/sampleserver1.cpp	561	signal(SIGINT, handleSigInt);
external/iotivity/iotivity_1.2-rel/resource/csdk/security/provisioning/unittest/sampleserver2.cpp	561	signal(SIGINT, handleSigInt);
external/iotivity/iotivity_1.2-rel/resource/csdk/stack/samples/linux/SimpleClientServer/occlient.cpp	915	signal(SIGINT, handleSigInt);
external/iotivity/iotivity_1.2-rel/resource/csdk/stack/samples/linux/SimpleClientServer/occlientbasicops.cpp	601	signal(SIGINT, handleSigInt);
external/iotivity/iotivity_1.2-rel/resource/csdk/stack/samples/linux/SimpleClientServer/occlientcoll.cpp	437	signal(SIGINT, handleSigInt);
external/iotivity/iotivity_1.2-rel/resource/csdk/stack/samples/linux/SimpleClientServer/occlientslow.cpp	317	signal(SIGINT, handleSigInt);
external/iotivity/iotivity_1.2-rel/resource/csdk/stack/samples/linux/SimpleClientServer/ocremoteaccessclient.cpp	538	signal(SIGINT, handleSigInt);
external/iotivity/iotivity_1.2-rel/resource/csdk/stack/samples/linux/SimpleClientServer/ocrouting.cpp	60	signal(SIGINT, handleSigInt);
